target,status,err,completion_time
EURUSD,1,ok,2018-11-07 22:40:49
EEM,1,ok,2018-11-07 22:47:21
EFA,1,ok,2018-11-07 22:53:55
EWZ,1,ok,2018-11-07 23:00:26
FXI,1,ok,2018-11-07 23:06:57
GDX,1,ok,2018-11-07 23:13:35
HYG,1,ok,2018-11-07 23:20:05
IAU,1,ok,2018-11-07 23:26:35
IWM,1,ok,2018-11-07 22:20:44
SPY,1,ok,2018-11-07 22:27:37
USO,1,ok,2018-11-07 22:34:32
VWO,1,ok,2018-11-07 22:41:17
XLE,1,ok,2018-11-07 22:47:53
XLF,1,ok,2018-11-07 22:54:31
XLI,1,ok,2018-11-07 23:01:07
XLK,1,ok,2018-11-07 23:07:46
XLP,1,ok,2018-11-07 23:14:26
XLU,1,ok,2018-11-07 23:21:03
XOP,1,ok,2018-11-07 23:27:41
JNK,1,ok,2018-11-07 23:34:22
IYR,1,ok,2018-11-07 23:41:04
VEA,1,ok,2018-11-07 23:47:49
SLV,1,ok,2018-11-07 23:54:35
XLV,1,ok,2018-11-08 00:01:21
RSX,1,ok,2018-11-07 23:33:10
TLT,1,ok,2018-11-07 23:39:47
EWJ,1,ok,2018-11-07 23:46:26
OIH,1,ok,2018-11-07 23:53:04
GLD,1,ok,2018-11-07 23:59:43
EZU,1,ok,2018-11-08 00:06:21
KRE,1,ok,2018-11-08 00:13:00
SMH,1,ok,2018-11-08 00:19:45
XLB,1,ok,2018-11-08 00:08:06
XRT,1,ok,2018-11-08 00:14:55
LQD,1,ok,2018-11-08 00:21:44
EWT,1,ok,2018-11-08 00:28:35
XLY,1,ok,2018-11-08 00:35:29
VNQ,1,ok,2018-11-08 00:42:22
EWH,1,ok,2018-11-08 00:49:14
EWW,1,ok,2018-11-08 00:56:07
XBI,1,ok,2018-11-08 00:26:30
DIA,1,ok,2018-11-08 00:33:17
EWG,1,ok,2018-11-08 00:40:08
VGK,1,ok,2018-11-08 00:46:56
IEF,1,ok,2018-11-08 00:53:41
EMB,1,ok,2018-11-08 01:00:29
FEZ,1,ok,2018-11-08 01:07:22
AGG,1,ok,2018-11-08 01:14:26
ITB,1,ok,2018-11-08 01:03:04
EWC,1,ok,2018-11-08 01:10:04
UNG,1,ok,2018-11-08 01:17:16
USDJPY,1,ok,2018-11-08 01:46:20
GBPUSD,1,ok,2018-11-08 02:14:09
AUDUSD,1,ok,2018-11-08 02:37:49
USDCAD,1,ok,2018-11-08 03:01:36
EURJPY,1,ok,2018-11-08 03:25:31
NZDUSD,1,ok,2018-11-08 01:43:45
XAGUSD,1,ok,2018-11-08 02:11:34
